Kód;Název ORP;Kód Kraje (VÚSC);Název Kraje (VÚSC);Kód Okresu;Název Okresu
183;Lysá nad Labem;27;Středočeský kraj;3208;Nymburk
191;Nymburk;27;Středočeský kraj;3208;Nymburk
205;Poděbrady;27;Středočeský kraj;3208;Nymburk
213;Brandýs nad Labem-Stará Boleslav;27;Středočeský kraj;3209;Praha-východ
221;Říčany;27;Středočeský kraj;3209;Praha-východ
230;Černošice;27;Středočeský kraj;3210;Praha-západ
248;Dobříš;27;Středočeský kraj;3211;Příbram
256;Příbram;27;Středočeský kraj;3211;Příbram
264;Sedlčany;27;Středočeský kraj;3211;Příbram
272;Rakovník;27;Středočeský kraj;3212;Rakovník
728;Děčín;60;Ústecký kraj;3502;Děčín
736;Rumburk;60;Ústecký kraj;3502;Děčín
744;Varnsdorf;60;Ústecký kraj;3502;Děčín
752;Chomutov;60;Ústecký kraj;3503;Chomutov
761;Kadaň;60;Ústecký kraj;3503;Chomutov
825;Litoměřice;60;Ústecký kraj;3506;Litoměřice
833;Lovosice;60;Ústecký kraj;3506;Litoměřice
841;Roudnice nad Labem;60;Ústecký kraj;3506;Litoměřice
850;Louny;60;Ústecký kraj;3507;Louny
868;Podbořany;60;Ústecký kraj;3507;Louny
876;Žatec;60;Ústecký kraj;3507;Louny
884;Litvínov;60;Ústecký kraj;3508;Most
892;Most;60;Ústecký kraj;3508;Most
906;Bílina;60;Ústecký kraj;3509;Teplice
914;Teplice;60;Ústecký kraj;3509;Teplice
922;Ústí nad Labem;60;Ústecký kraj;3510;Ústí nad Labem
1520;Bystřice pod Hostýnem;141;Zlínský kraj;3708;Kroměříž
1538;Holešov;141;Zlínský kraj;3708;Kroměříž
1546;Kroměříž;141;Zlínský kraj;3708;Kroměříž
1601;Uherské Hradiště;141;Zlínský kraj;3711;Uherské Hradiště
1619;Uherský Brod;141;Zlínský kraj;3711;Uherské Hradiště
2038;Rožnov pod Radhoštěm;141;Zlínský kraj;3810;Vsetín
2046;Valašské Meziříčí;141;Zlínský kraj;3810;Vsetín
2054;Vsetín;141;Zlínský kraj;3810;Vsetín
1422;Luhačovice;141;Zlínský kraj;3705;Zlín
1431;Otrokovice;141;Zlínský kraj;3705;Zlín
1449;Valašské Klobouky;141;Zlínský kraj;3705;Zlín
1457;Vizovice;141;Zlínský kraj;3705;Zlín
1465;Zlín;141;Zlínský kraj;3705;Zlín
