"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Pardubický","Pardubice","Spojil","koalice",41.33
"Středočeský","Mělník","Spomyšl","koalice",66.66
"Ústecký","Chomutov","Spořice","koalice",39.66
"Zlínský","Otrokovice","Spytihněv","koalice",48.14
"Olomoucký","Prostějov","Srbce","koalice",69.57
"Středočeský","Rakovník","Srbeč","koalice",73.25
"Plzeňský","Domažlice","Srbice","koalice",71.9
"Ústecký","Teplice","Srbice","koalice",64.49
"Ústecký","Děčín","Srbská Kamenice","koalice",47.62
"Středočeský","Beroun","Srbsko","koalice",29.27
"Plzeňský","Horšovský Týn","Srby","koalice",67.99
"Plzeňský","Nepomuk","Srby","koalice",57.35
"Pardubický","Pardubice","Srch","koalice",54.41
"Plzeňský","Sušice","Srní","koalice",47.82
"Jihočeský","Český Krumlov","Srnín","koalice",32
"Pardubický","Pardubice","Srnojedy","koalice",56.69
"Jihočeský","České Budějovice","Srubec","koalice",25.03
"Pardubický","Vysoké Mýto","Sruby","koalice",59.77
"Jihočeský","Tábor","Stádlec","koalice",35.29
"Jihočeský","Vimperk","Stachy","koalice",39.88
"Vysočina","Jihlava","Stáj","koalice",43.39
"Jihomoravský","Znojmo","Stálky","koalice",45.83
"Plzeňský","Horšovský Týn","Staňkov","koalice",58.99
"Jihočeský","Třeboň","Staňkov","koalice",49.99
"Středočeský","Kutná Hora","Staňkovice","koalice",53.08
"Ústecký","Litoměřice","Staňkovice","koalice",28.57
"Ústecký","Žatec","Staňkovice","koalice",66.11
"Královéhradecký","Dvůr Králové nad Labem","Stanovice","koalice",66.66
"Karlovarský","Karlovy Vary","Stanovice","koalice",57.3
"Jihomoravský","Rosice","Stanoviště","koalice",41.06
"Moravskoslezský","Ostrava","Stará Bělá","koalice",48.39
"Olomoucký","Jeseník","Stará Červená Voda","koalice",72.31
"Středočeský","Dobříš","Stará Huť","koalice",41.24
"Středočeský","Lysá nad Labem","Stará Lysá","koalice",45.26
"Královéhradecký","Nová Paka","Stará Paka","koalice",55.62
"Vysočina","Telč","Stará Říše","koalice",43.5
"Olomoucký","Přerov","Stará Ves","koalice",60.66
"Moravskoslezský","Rýmařov","Stará Ves","koalice",78.16
"Moravskoslezský","Ostrava","Stará Ves nad Ondřejnicí","koalice",54.74
"Královéhradecký","Hradec Králové","Stará Voda","koalice",75.47
"Karlovarský","Mariánské Lázně","Stará Voda","koalice",51.8
"Vysočina","Humpolec","Staré Bříště","koalice",52.78
"Královéhradecký","Trutnov","Staré Buky","koalice",62.31
"Moravskoslezský","Frýdlant nad Ostravicí","Staré Hamry","koalice",68.7
"Moravskoslezský","Bruntál","Staré Heřminovy","koalice",86.25
"Jihočeský","Dačice","Staré Hobzí","koalice",54.35
"Jihočeský","České Budějovice","Staré Hodějovice","koalice",26.51
"Pardubický","Pardubice","Staré Hradiště","koalice",46.44
"Královéhradecký","Jičín","Staré Hrady","koalice",69.56
"Zlínský","Uherské Hradiště","Staré Hutě","koalice",44.44
"Pardubický","Pardubice","Staré Jesenčany","koalice",54.67
"Ústecký","Rumburk","Staré Křečany","koalice",51.97
"Moravskoslezský","Bruntál","Staré Město","koalice",66.8
"Moravskoslezský","Frýdek-Místek","Staré Město","koalice",56.82
"Pardubický","Moravská Třebová","Staré Město","koalice",82.16
"Olomoucký","Šumperk","Staré Město","koalice",59.1
"Zlínský","Uherské Hradiště","Staré Město","koalice",39.5
"Jihočeský","Jindřichův Hradec","Staré Město pod Landštejnem","koalice",65.26
"Královéhradecký","Jičín","Staré Místo","koalice",60.56
"Plzeňský","Tachov","Staré Sedliště","koalice",56.49
"Karlovarský","Sokolov","Staré Sedlo","koalice",64.2
"Plzeňský","Tachov","Staré Sedlo","koalice",71.06
"Královéhradecký","Hořice","Staré Smrkovice","koalice",71.74
"Moravskoslezský","Vítkov","Staré Těchanovice","koalice",67.45
"Pardubický","Pardubice","Staré Ždánice","koalice",69.84
"Středočeský","Čáslav","Starkoč","koalice",49.15
"Královéhradecký","Náchod","Stárkov","koalice",79.81
"Středočeský","Příbram","Starosedlský Hrádek","koalice",60.42
"Jihomoravský","Hustopeče","Starovice","koalice",50
"Jihomoravský","Hustopeče","Starovičky","koalice",62.92
"Královéhradecký","Nový Bydžov","Starý Bydžov","koalice",74.5
"Zlínský","Uherský Brod","Starý Hrozenkov","koalice",63.43
"Moravskoslezský","Nový Jičín","Starý Jičín","koalice",49.58
"Středočeský","Kolín","Starý Kolín","koalice",51.42
"Pardubický","Pardubice","Starý Mateřov","koalice",61.15
"Jihomoravský","Znojmo","Starý Petřín","koalice",77.05
"Plzeňský","Plzeň","Starý Plzenec","koalice",45.6
"Jihomoravský","Hodonín","Starý Poddvorov","koalice",49.82
"Ústecký","Děčín","Starý Šachov","koalice",54.71
"Středočeský","Lysá nad Labem","Starý Vestec","koalice",57.37
"Vysočina","Třebíč","Stařeč","koalice",52.55
"Olomoucký","Prostějov","Stařechovice","koalice",67.85
"Moravskoslezský","Frýdek-Místek","Staříč","koalice",62.49
"Středočeský","Beroun","Stašov","koalice",44
"Pardubický","Polička","Stašov","koalice",67.6
"Středočeský","Černošice","Statenice","koalice",29.54
"Olomoucký","Mohelnice","Stavenice","koalice",75.75
"Jihomoravský","Kyjov","Stavěšice","koalice",50.47
"Pardubický","Pardubice","Stéblová","koalice",63.52
"Ústecký","Ústí nad Labem","Stebno","koalice",60.4
"Moravskoslezský","Opava","Stěbořice","koalice",64.95
"Středočeský","Kladno","Stehelčeves","koalice",43
"Jihočeský","Milevsko","Stehlovice","koalice",46.87
"Královéhradecký","Hradec Králové","Stěžery","koalice",47.4
"Olomoucký","Prostějov","Stínava","koalice",48.94
"Plzeňský","Stod","Stod","koalice",64.8
"Středočeský","Kladno","Stochov","koalice",58.41
"Vysočina","Pelhřimov","Stojčín","koalice",64.52
"Pardubický","Přelouč","Stojice","koalice",79.59
"Pardubický","Chrudim","Stolany","koalice",67.19
"Vysočina","Jihlava","Stonařov","koalice",55.65
"Moravskoslezský","Karviná","Stonava","koalice",74.8
"Jihomoravský","Znojmo","Stošíkovice na Louce","koalice",67.5
"Jihočeský","Prachatice","Stožec","koalice",23.89
"Jihočeský","Vodňany","Stožice","koalice",34.7
"Královéhradecký","Hradec Králové","Stračov","koalice",49.51
"Středočeský","Slaný","Stradonice","koalice",70.37
"Pardubický","Vysoké Mýto","Stradouň","koalice",63.15
"Moravskoslezský","Kravaře","Strahovice","koalice",74.73
"Vysočina","Telč","Strachoňovice","koalice",35.72
"Jihomoravský","Znojmo","Strachotice","koalice",72.68
"Jihomoravský","Hustopeče","Strachotín","koalice",51.44
"Vysočina","Bystřice nad Pernštejnem","Strachujov","koalice",74.08
"Jihočeský","Strakonice","Strakonice","koalice",43.68
"Pardubický","Litomyšl","Strakov","koalice",58.22
"Středočeský","Nymburk","Straky","koalice",61.2
"Středočeský","Říčany","Strančice","koalice",29.92
"Vysočina","Velké Meziříčí","Stránecká Zhoř","koalice",44.94
"Zlínský","Uherský Brod","Strání","koalice",45.55
"Středočeský","Mělník","Stránka","koalice",58.62
"Středočeský","Benešov","Stranný","koalice",54.55
"Plzeňský","Rokycany","Strašice","koalice",59.7
"Jihočeský","Strakonice","Strašice","koalice",73.77
"Plzeňský","Sušice","Strašín","koalice",62.35
"Ústecký","Roudnice nad Labem","Straškov-Vodochody","koalice",57.51
"Středočeský","Mladá Boleslav","Strašnov","koalice",64.38
"Pardubický","Přelouč","Strašov","koalice",56.6
"Středočeský","Lysá nad Labem","Stratov","koalice",49.03
"Plzeňský","Domažlice","Stráž","koalice",43.33
"Plzeňský","Tachov","Stráž","koalice",68.74
"Jihočeský","Jindřichův Hradec","Stráž nad Nežárkou","koalice",35.82
"Liberecký","Liberec","Stráž nad Nisou","koalice",35.16
"Karlovarský","Ostrov","Stráž nad Ohří","koalice",55.87
"Liberecký","Česká Lípa","Stráž pod Ralskem","koalice",58.51
"Vysočina","Bystřice nad Pernštejnem","Strážek","koalice",50.35
"Olomoucký","Konice","Stražisko","koalice",67.21
"Středočeský","Mnichovo Hradiště","Strážiště","koalice",37.71
"Jihočeský","České Budějovice","Strážkovice","koalice",28.14
"Pardubický","Lanškroun","Strážná","koalice",72.72
"Královéhradecký","Vrchlabí","Strážné","koalice",36.37
"Jihomoravský","Veselí nad Moravou","Strážnice","koalice",36.63
"Jihočeský","Vimperk","Strážný","koalice",39.68
"Plzeňský","Klatovy","Strážov","koalice",59.23
"Jihomoravský","Kyjov","Strážovice","koalice",49.78
"Středočeský","Mladá Boleslav","Strenice","koalice",39.54
"Jihomoravský","Tišnov","Strhaře","koalice",47.22
"Jihočeský","Jindřichův Hradec","Strmilov","koalice",43.77
"Středočeský","Vlašim","Strojetice","koalice",43.91
"Vysočina","Třebíč","Stropešín","koalice",74.2
"Středočeský","Benešov","Struhařov","koalice",45.57
"Středočeský","Říčany","Struhařov","koalice",24.73
"Olomoucký","Šternberk","Strukov","koalice",45.23
"Jihočeský","Prachatice","Strunkovice nad Blanicí","koalice",41.93
"Jihočeský","Strakonice","Strunkovice nad Volyňkou","koalice",20.93
"Ústecký","Chomutov","Strupčice","koalice",61.37
"Liberecký","Semily","Stružinec","koalice",50.74
"Karlovarský","Karlovy Vary","Stružná","koalice",58.64
"Liberecký","Česká Lípa","Stružnice","koalice",59.42
"Jihočeský","České Budějovice","Strýčice","koalice",44
"Středočeský","Černošice","Středokluky","koalice",38.36
"Plzeňský","Stod","Střelice","koalice",74.08
"Jihomoravský","Šlapanice","Střelice","koalice",30.01
"Jihomoravský","Znojmo","Střelice","koalice",63.38
"Zlínský","Vsetín","Střelná","koalice",35.88
"Jihočeský","Strakonice","Střelské Hoštice","koalice",42.67
"Pardubický","Chrudim","Střemošice","koalice",62.5
"Středočeský","Mělník","Střemy","koalice",55.07
"Olomoucký","Litovel","Střeň","koalice",48.7
"Královéhradecký","Jičín","Střevač","koalice",76.19
"Královéhradecký","Hradec Králové","Střezetice","koalice",54.75
"Středočeský","Votice","Střezimíř","koalice",48.28
"Karlovarský","Kraslice","Stříbrná","koalice",62.37
"Středočeský","Říčany","Stříbrná Skalice","koalice",42.07
"Vysočina","Havlíčkův Brod","Stříbrné Hory","koalice",55
"Olomoucký","Přerov","Stříbrnice","koalice",55.17
"Zlínský","Uherské Hradiště","Stříbrnice","koalice",55.75
"Plzeňský","Stříbro","Stříbro","koalice",63.92
"Jihočeský","Třeboň","Stříbřec","koalice",43.92
"Zlínský","Kroměříž","Střílky","koalice",66.66
"Vysočina","Bystřice nad Pernštejnem","Střítež","koalice",54.76
"Vysočina","Jihlava","Střítež","koalice",56.94
"Jihočeský","Kaplice","Střítež","koalice",36.58
"Vysočina","Pelhřimov","Střítež","koalice",63.43
"Vysočina","Třebíč","Střítež","koalice",55.63
"Moravskoslezský","Třinec","Střítež","koalice",57.3
"Zlínský","Valašské Meziříčí","Střítež nad Bečvou","koalice",50
"Olomoucký","Hranice","Střítež nad Ludinou","koalice",48.18
"Vysočina","Pelhřimov","Střítež pod Křemešníkem","koalice",56.76
"Jihočeský","České Budějovice","Střížov","koalice",17.45
"Plzeňský","Blovice","Střížovice","koalice",59.67
"Jihočeský","Jindřichův Hradec","Střížovice","koalice",48.08
"Zlínský","Kroměříž","Střížovice","koalice",44.44
"Plzeňský","Tachov","Studánka","koalice",69.82
"Jihočeský","Dačice","Studená","koalice",47.42
"Plzeňský","Kralovice","Studená","koalice",61.54
"Pardubický","Žamberk","Studené","koalice",68.89
"Liberecký","Jilemnice","Studenec","koalice",32.81
"Vysočina","Náměšť nad Oslavou","Studenec","koalice",59.99
"Středočeský","Slaný","Studeněves","koalice",43.96
"Moravskoslezský","Bílovec","Studénka","koalice",64.99
"Středočeský","Vlašim","Studený","koalice",54.34
"Pardubický","Hlinsko","Studnice","koalice",61.94
"Královéhradecký","Náchod","Studnice","koalice",47.22
"Vysočina","Třebíč","Studnice","koalice",37.14
"Jihomoravský","Vyškov","Studnice","koalice",63.28
"Zlínský","Uherské Hradiště","Stupava","koalice",49.09
"Liberecký","Česká Lípa","Stvolínky","koalice",51.47
"Jihomoravský","Boskovice","Stvolová","koalice",47.16
"Středočeský","Kutná Hora","Sudějov","koalice",61.76
"Jihomoravský","Boskovice","Sudice","koalice",57.81
"Moravskoslezský","Kravaře","Sudice","koalice",71.34
"Vysočina","Náměšť nad Oslavou","Sudice","koalice",68.37
"Pardubický","Ústí nad Orlicí","Sudislav nad Orlicí","koalice",54.55
"Olomoucký","Šumperk","Sudkov","koalice",69.56
"Středočeský","Mladá Boleslav","Sudoměř","koalice",52.62
"Jihomoravský","Hodonín","Sudoměřice","koalice",49.61
"Jihočeský","Tábor","Sudoměřice u Bechyně","koalice",34.52
"Jihočeský","Tábor","Sudoměřice u Tábora","koalice",39.32
"Středočeský","Brandýs nad Labem-Stará Boleslav","Sudovo Hlavno","koalice",49.14
"Pardubický","Vysoké Mýto","Sudslava","koalice",48.43
"Vysočina","Jihlava","Suchá","koalice",60.01
"Pardubický","Litomyšl","Suchá Lhota","koalice",21.27
"Zlínský","Uherský Brod","Suchá Loz","koalice",44.49
"Olomoucký","Konice","Suchdol","koalice",48.49
"Středočeský","Kutná Hora","Suchdol","koalice",61.19
"Jihočeský","Třeboň","Suchdol nad Lužnicí","koalice",44.13
"Moravskoslezský","Nový Jičín","Suchdol nad Odrou","koalice",68.64
"Moravskoslezský","Opava","Suché Lazce","koalice",66.4
"Středočeský","Příbram","Suchodol","koalice",46.72
"Jihomoravský","Znojmo","Suchohrdly","koalice",43.22
"Jihomoravský","Moravský Krumlov","Suchohrdly u Miroslavi","koalice",35.12
"Středočeský","Beroun","Suchomasty","koalice",47.05
"Olomoucký","Olomouc","Suchonice","koalice",39.28
"Jihomoravský","Veselí nad Moravou","Suchov","koalice",61.46
"Královéhradecký","Trutnov","Suchovršice","koalice",50
"Jihomoravský","Boskovice","Suchý","koalice",37.29
"Královéhradecký","Náchod","Suchý Důl","koalice",42.11
"Královéhradecký","Hořice","Sukorady","koalice",61.2
"Středočeský","Mladá Boleslav","Sukorady","koalice",50.47
"Ústecký","Lovosice","Sulejovice","koalice",79.81
"Středočeský","Říčany","Sulice","koalice",28.97
"Jihomoravský","Boskovice","Sulíkov","koalice",31.72
"Zlínský","Kroměříž","Sulimov","koalice",55.55
"Plzeňský","Stříbro","Sulislav","koalice",70.74
"Vysočina","Bystřice nad Pernštejnem","Sulkovec","koalice",77.15
"Olomoucký","Jeseník","Supíkovice","koalice",71.79
"Olomoucký","Přerov","Sušice","koalice",68.6
"Plzeňský","Sušice","Sušice","koalice",50.46
"Zlínský","Uherské Hradiště","Sušice","koalice",51.66
"Středočeský","Kladno","Svárov","koalice",28.57
"Zlínský","Uherské Hradiště","Svárov","koalice",51.35
"Středočeský","Beroun","Svatá","koalice",44.96
"Jihočeský","Vimperk","Svatá Maří","koalice",40.23
"Karlovarský","Sokolov","Svatava","koalice",61.61
"Středočeský","Dobříš","Svaté Pole","koalice",50
"Jihomoravský","Kyjov","Svatobořice-Mistřín","koalice",47.63
"Královéhradecký","Jičín","Svatojanský Újezd","koalice",28
"Moravskoslezský","Vítkov","Svatoňovice","koalice",72.85
"Jihomoravský","Tišnov","Svatoslav","koalice",53.6
"Vysočina","Třebíč","Svatoslav","koalice",50.85
"Středočeský","Sedlčany","Svatý Jan","koalice",40.48
"Jihočeský","Trhové Sviny","Svatý Jan nad Malší","koalice",30.77
"Středočeský","Beroun","Svatý Jan pod Skalou","koalice",21.22
"Pardubický","Vysoké Mýto","Svatý Jiří","koalice",79.64
"Středočeský","Kutná Hora","Svatý Mikuláš","koalice",61.96
"Olomoucký","Zábřeh","Svébohov","koalice",58.28
"Středočeský","Brandýs nad Labem-Stará Boleslav","Svémyslice","koalice",23.26
"Vysočina","Pelhřimov","Svépravice","koalice",73.34
"Plzeňský","Horažďovice","Svéradice","koalice",49.19
"Olomoucký","Olomouc","Svésedlice","koalice",42.63
"Jihočeský","Jindřichův Hradec","Světce","koalice",38.3
"Ústecký","Bílina","Světec","koalice",80.1
"Královéhradecký","Hradec Králové","Světí","koalice",48.08
"Středočeský","Říčany","Světice","koalice",28.16
"Jihomoravský","Boskovice","Světlá","koalice",55.92
"Moravskoslezský","Bruntál","Světlá Hora","koalice",73.28
"Vysočina","Světlá nad Sázavou","Světlá nad Sázavou","koalice",58.9
"Liberecký","Liberec","Světlá pod Ještědem","koalice",32.61
"Jihočeský","Český Krumlov","Světlík","koalice",47.7
"Vysočina","Žďár nad Sázavou","Světnov","koalice",62.39
"Moravskoslezský","Frýdek-Místek","Sviadnov","koalice",56.43
"Pardubický","Chrudim","Svídnice","koalice",73.27
"Královéhradecký","Kostelec nad Orlicí","Svídnice","koalice",49.99
"Liberecký","Turnov","Svijanský Újezd","koalice",43.19
"Liberecký","Turnov","Svijany","koalice",30.86
"Středočeský","Beroun","Svinaře","koalice",27.97
"Středočeský","Kladno","Svinařov","koalice",70.54
"Pardubický","Přelouč","Svinčany","koalice",72.95
"Jihomoravský","Blansko","Svinošice","koalice",24
"Moravskoslezský","Ostrava","Svinov","koalice",59.49
"Jihočeský","Soběslav","Sviny","koalice",17.6
"Vysočina","Velké Meziříčí","Sviny","koalice",58.07
"Jihomoravský","Boskovice","Svitávka","koalice",52.07
"Pardubický","Svitavy","Svitavy","koalice",65.41
"Královéhradecký","Trutnov","Svoboda nad Úpou","koalice",56.58
"Moravskoslezský","Bruntál","Svobodné Heřmanice","koalice",82.99
"Pardubický","Polička","Svojanov","koalice",55.2
"Liberecký","Jilemnice","Svojek","koalice",66.13
"Středočeský","Říčany","Svojetice","koalice",32.95
"Středočeský","Rakovník","Svojetín","koalice",72.22
"Liberecký","Nový Bor","Svojkov","koalice",30.7
"Plzeňský","Rokycany","Svojkovice","koalice",64.9
"Vysočina","Telč","Svojkovice","koalice",65
"Středočeský","Kolín","Svojšice","koalice",75.56
"Pardubický","Přelouč","Svojšice","koalice",66.67
"Středočeský","Příbram","Svojšice","koalice",48.98
"Plzeňský","Stříbro","Svojšín","koalice",72.94
"Liberecký","Nový Bor","Svor","koalice",45.35
"Jihočeský","Tábor","Svrabov","koalice",39.29
"Vysočina","Žďár nad Sázavou","Svratka","koalice",55.5
"Pardubický","Hlinsko","Svratouch","koalice",64.9
"Středočeský","Černošice","Svrkyně","koalice",37.94
"Liberecký","Turnov","Sychrov","koalice",27.94
"Středočeský","Rakovník","Sýkořice","koalice",52.56
"Jihomoravský","Tišnov","Synalov","koalice",47.27
"Královéhradecký","Rychnov nad Kněžnou","Synkov-Slemeno","koalice",47.36
"Vysočina","Humpolec","Syrov","koalice",64.28
"Královéhradecký","Hradec Králové","Syrovátka","koalice",67.24
"Jihomoravský","Židlochovice","Syrovice","koalice",30.19
"Jihomoravský","Kyjov","Syrovín","koalice",52.5
"Liberecký","Semily","Syřenov","koalice",42.67
"Plzeňský","Stříbro","Sytno","koalice",75.92
"Karlovarský","Sokolov","Šabina","koalice",42.4
"Jihomoravský","Znojmo","Šafov","koalice",62.86
"Jihomoravský","Hustopeče","Šakvice","koalice",57.97
"Zlínský","Luhačovice","Šanov","koalice",60.44
"Středočeský","Rakovník","Šanov","koalice",48.92
"Jihomoravský","Znojmo","Šanov","koalice",66.99
"Královéhradecký","Nový Bydžov","Šaplava","koalice",57.68
"Jihomoravský","Slavkov u Brna","Šaratice","koalice",39.45
"Jihomoravský","Kyjov","Šardice","koalice",59.6
"Královéhradecký","Jičín","Šárovcova Lhota","koalice",46.42
"Zlínský","Zlín","Šarovy","koalice",50
"Jihomoravský","Znojmo","Šatov","koalice",65.25
"Středočeský","Čáslav","Šebestěnice","koalice",70.73
"Jihomoravský","Boskovice","Šebetov","koalice",52.23
"Jihočeský","Tábor","Šebířov","koalice",47.86
"Vysočina","Třebíč","Šebkovice","koalice",60.17
"Jihomoravský","Blansko","Šebrov-Kateřina","koalice",41.31
"Pardubický","Žamberk","Šedivec","koalice",48.98
"Zlínský","Kroměříž","Šelešovice","koalice",72.16
"Karlovarský","Karlovy Vary","Šemnice","koalice",44
"Moravskoslezský","Ostrava","Šenov","koalice",63.44
"Moravskoslezský","Nový Jičín","Šenov u Nového Jičína","koalice",59.96
"Jihomoravský","Tišnov","Šerkovice","koalice",35.8
"Středočeský","Brandýs nad Labem-Stará Boleslav","Šestajovice","koalice",24.89
"Královéhradecký","Jaroměř","Šestajovice","koalice",67.24
"Středočeský","Vlašim","Šetějovice","koalice",66.67
"Jihočeský","České Budějovice","Ševětín","koalice",30.03
"Moravskoslezský","Hlučín","Šilheřovice","koalice",52.52
"Vysočina","Jihlava","Šimanov","koalice",63.93
"Liberecký","Liberec","Šimonovice","koalice",26.64
"Karlovarský","Kraslice","Šindelová","koalice",42.85
"Středočeský","Rakovník","Šípy","koalice",44.23
"Moravskoslezský","Bruntál","Široká Niva","koalice",85.15
"Pardubický","Polička","Široký Důl","koalice",43.97
"Olomoucký","Přerov","Šišma","koalice",78.18
"Jihomoravský","Hustopeče","Šitbořice","koalice",39.32
"Vysočina","Žďár nad Sázavou","Škrdlovice","koalice",61.97
"Středočeský","Brandýs nad Labem-Stará Boleslav","Škvorec","koalice",28.47
"Jihočeský","Blatná","Škvořetice","koalice",52.64
"Středočeský","Slaný","Šlapanice","koalice",78.18
"Jihomoravský","Šlapanice","Šlapanice","koalice",31.96
"Vysočina","Havlíčkův Brod","Šlapanov","koalice",51.45
"Olomoucký","Šumperk","Šléglov","koalice",64.29
"Ústecký","Rumburk","Šluknov","koalice",63.11
"Královéhradecký","Broumov","Šonov","koalice",58.14
"Jihomoravský","Blansko","Šošůvka","koalice",42.56
"Olomoucký","Hranice","Špičky","koalice",61.05
"Královéhradecký","Vrchlabí","Špindlerův Mlýn","koalice",33.85
"Moravskoslezský","Opava","Štáblovice","koalice",70.16
"Plzeňský","Plzeň","Šťáhlavy","koalice",50.36
"Olomoucký","Šternberk","Štarnov","koalice",45.97
"Karlovarský","Karlovy Vary","Štědrá","koalice",68.03
"Jihomoravský","Boskovice","Štěchov","koalice",46.38
"Středočeský","Černošice","Štěchovice","koalice",33.65
"Jihočeský","Strakonice","Štěchovice","koalice",64.44
"Jihočeský","Strakonice","Štěkeň","koalice",49.75
"Vysočina","Třebíč","Štěměchy","koalice",51.89
"Plzeňský","Přeštice","Štěnovice","koalice",39.33
"Plzeňský","Plzeň","Štěnovický Borek","koalice",42.85
"Moravskoslezský","Kravaře","Štěpánkovice","koalice",62.9
"Olomoucký","Olomouc","Štěpánov","koalice",58.32
"Vysočina","Bystřice nad Pernštejnem","Štěpánov nad Svratkou","koalice",68.31
"Jihočeský","České Budějovice","Štěpánovice","koalice",29.92
"Jihomoravský","Tišnov","Štěpánovice","koalice",44.2
"Vysočina","Moravské Budějovice","Štěpkov","koalice",50
"Olomoucký","Šternberk","Šternberk","koalice",58.52
"Ústecký","Litoměřice","Štětí","koalice",62.88
"Středočeský","Sedlčany","Štětkovice","koalice",41.27
"Středočeský","Říčany","Štíhlice","koalice",48.05
"Plzeňský","Stod","Štichov","koalice",58.34
"Plzeňský","Kralovice","Štichovice","koalice",34.62
"Středočeský","Kutná Hora","Štipoklasy","koalice",58.7
"Jihomoravský","Znojmo","Štítary","koalice",62.86
"Moravskoslezský","Opava","Štítina","koalice",54.5
"Zlínský","Valašské Klobouky","Štítná nad Vláří-Popov","koalice",47.47
"Plzeňský","Rokycany","Štítov","koalice",68.96
"Olomoucký","Zábřeh","Štíty","koalice",35.39
"Vysočina","Havlíčkův Brod","Štoky","koalice",51.3
"Moravskoslezský","Kopřivnice","Štramberk","koalice",53.48
"Pardubický","Svitavy","Študlov","koalice",69.23
"Zlínský","Valašské Klobouky","Študlov","koalice",40.17
"Olomoucký","Konice","Šubířov","koalice",68.57
"Jihočeský","Vimperk","Šumavské Hoštice","koalice",30.28
"Jihomoravský","Pohořelice","Šumice","koalice",47.07
"Zlínský","Uherský Brod","Šumice","koalice",44.38
"Jihomoravský","Znojmo","Šumná","koalice",65.53
"Olomoucký","Šumperk","Šumperk","koalice",59.64
"Olomoucký","Uničov","Šumvald","koalice",64.42
"Jihomoravský","Vyškov","Švábenice","koalice",44.97
"Vysočina","Jihlava","Švábov","koalice",65.71
"Plzeňský","Klatovy","Švihov","koalice",55.56
"Středočeský","Rakovník","Švihov","koalice",65.52
"Jihočeský","Tábor","Tábor","koalice",37.2
"Středočeský","Černošice","Tachlovice","koalice",36.35
"Liberecký","Česká Lípa","Tachov","koalice",54.72
"Plzeňský","Tachov","Tachov","koalice",69.41
"Jihočeský","Písek","Tálín","koalice",26.79
"Liberecký","Tanvald","Tanvald","koalice",56.98
"Vysočina","Velké Meziříčí","Tasov","koalice",48.06
"Jihomoravský","Veselí nad Moravou","Tasov","koalice",55.22
"Jihomoravský","Boskovice","Tasovice","koalice",58.97
"Jihomoravský","Znojmo","Tasovice","koalice",46.7
"Ústecký","Ústí nad Labem","Tašov","koalice",42.22
"Středočeský","Kolín","Tatce","koalice",46.37
"Pardubický","Lanškroun","Tatenice","koalice",73.36
"Plzeňský","Nýřany","Tatiná","koalice",54.55
"Liberecký","Turnov","Tatobity","koalice",38.54
"Karlovarský","Sokolov","Tatrovice","koalice",42.37
"Jihomoravský","Moravský Krumlov","Tavíkovice","koalice",66.67
"Zlínský","Zlín","Tečovice","koalice",36.74
"Středočeský","Říčany","Tehov","koalice",26.55
"Středočeský","Vlašim","Tehov","koalice",37.08
"Středočeský","Říčany","Tehovec","koalice",29.12
"Středočeský","Příbram","Těchařovice","koalice",91.66
"Ústecký","Děčín","Těchlovice","koalice",72.51
"Královéhradecký","Hradec Králové","Těchlovice","koalice",51.85
"Vysočina","Pacov","Těchobuz","koalice",28.94
"Pardubický","Žamberk","Těchonín","koalice",82.41
"Vysočina","Telč","Telč","koalice",41.25
"Pardubický","Polička","Telecí","koalice",62.38
"Jihomoravský","Šlapanice","Telnice","koalice",31.82
"Ústecký","Ústí nad Labem","Telnice","koalice",61.56
"Jihočeský","Týn nad Vltavou","Temelín","koalice",40.47
"Jihočeský","Písek","Temešvár","koalice",35.29
"Jihomoravský","Kyjov","Těmice","koalice",50.23
"Vysočina","Pelhřimov","Těmice","koalice",62.5
"Plzeňský","Rokycany","Těně","koalice",72.72
"Karlovarský","Mariánské Lázně","Teplá","koalice",69.33
"Ústecký","Teplice","Teplice","koalice",55.73
"Olomoucký","Hranice","Teplice nad Bečvou","koalice",48.91
"Královéhradecký","Broumov","Teplice nad Metují","koalice",57.76
"Karlovarský","Karlovy Vary","Teplička","koalice",38.46
"Středočeský","Benešov","Teplýšovice","koalice",36.56
"Plzeňský","Rokycany","Terešov","koalice",34.05
"Jihomoravský","Hodonín","Terezín","koalice",51.26
"Ústecký","Litoměřice","Terezín","koalice",59.93
"Moravskoslezský","Havířov","Těrlicko","koalice",64.36
"Jihomoravský","Židlochovice","Těšany","koalice",45.28
"Olomoucký","Olomouc","Těšetice","koalice",50.43
"Jihomoravský","Znojmo","Těšetice","koalice",52.94
"Plzeňský","Rokycany","Těškov","koalice",53.46
"Moravskoslezský","Opava","Těškovice","koalice",53.02
"Jihočeský","Prachatice","Těšovice","koalice",36.27
"Karlovarský","Sokolov","Těšovice","koalice",61.9
"Jihomoravský","Rosice","Tetčice","koalice",46.69
"Středočeský","Beroun","Tetín","koalice",42.43
"Královéhradecký","Hořice","Tetín","koalice",14.7
"Pardubický","Přelouč","Tetov","koalice",64.15
"Jihočeský","Blatná","Tchořovice","koalice",38.96
"Moravskoslezský","Frenštát pod Radhoštěm","Tichá","koalice",50.68
"Středočeský","Vlašim","Tichonice","koalice",63.9
"Zlínský","Valašské Klobouky","Tichov","koalice",40.5
"Vysočina","Havlíčkův Brod","Tis","koalice",44.57
"Plzeňský","Kralovice","Tis u Blatna","koalice",80.77
