"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Moravskoslezský","Odry","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",24,3976,0.6
"Olomoucký","Olomouc","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",201,42309,0.48
"Moravskoslezský","Opava","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",118,26368,0.45
"Moravskoslezský","Orlová","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",25,7708,0.32
"Moravskoslezský","Ostrava","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",268,74563,0.36
"Karlovarský","Ostrov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",27,6684,0.4
"Zlínský","Otrokovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",43,8319,0.52
"Vysočina","Pacov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",4,2895,0.14
"Pardubický","Pardubice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",177,32777,0.54
"Vysočina","Pelhřimov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",43,13237,0.32
"Jihočeský","Písek","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",71,14460,0.49
"Plzeňský","Plzeň","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",406,46603,0.87
"Ústecký","Podbořany","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",18,3726,0.48
"Středočeský","Poděbrady","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",39,8743,0.45
"Jihomoravský","Pohořelice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",11,4275,0.26
"Pardubický","Polička","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",23,5333,0.43
"Jihočeský","Prachatice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",38,9004,0.42
"Olomoucký","Prostějov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",133,23840,0.56
"Pardubický","Přelouč","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",39,6777,0.58
"Olomoucký","Přerov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",89,19529,0.46
"Plzeňský","Přeštice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",49,6063,0.81
"Středočeský","Příbram","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",114,18529,0.62
"Středočeský","Rakovník","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",57,13673,0.42
"Plzeňský","Rokycany","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",117,12664,0.92
"Jihomoravský","Rosice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",15,7165,0.21
"Ústecký","Roudnice nad Labem","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",50,8195,0.61
"Zlínský","Rožnov pod Radhoštěm","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",44,8633,0.51
"Ústecký","Rumburk","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",20,6887,0.29
"Královéhradecký","Rychnov nad Kněžnou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",54,8775,0.62
"Moravskoslezský","Rýmařov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",19,3601,0.53
"Středočeský","Říčany","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",103,20197,0.51
"Středočeský","Sedlčany","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",31,5722,0.54
"Liberecký","Semily","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",24,7119,0.34
"Středočeský","Slaný","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",61,9659,0.63
"Jihomoravský","Slavkov u Brna","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",6,6866,0.09
"Jihočeský","Soběslav","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",22,6781,0.32
"Karlovarský","Sokolov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",42,16499,0.25
